MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
7382231,171151188,04/25/2017,04/25/2017,06:35:00,04/25/2017,06:45:00,212,,,457 WIMBLEDON RD NE,0690,2310,,1,Morn,Tue,20,LARCENY-NON VEHICLE,Piedmont Heights,F,-84.372299999999996,33.806449999999998
7382232,171151205,04/25/2017,04/23/2017,00:00:00,04/25/2017,10:42:00,110,,,2432 2ND ST NW,0640,2305,,2,Unk,Unk,20,LARCENY-FROM VEHICLE,Scotts Crossing,G,-84.467680000000001,33.80265
7382233,171151274,04/25/2017,04/25/2017,09:40:00,04/25/2017,11:22:00,504,,,826 MARIETTA ST,0640,2305,,1,Day,Tue,18,LARCENY-FROM VEHICLE,Marietta Street Artery,E,-84.406700000000001,33.774769999999997
7382234,171151289,04/25/2017,04/22/2017,22:00:00,04/23/2017,10:00:00,203,,,2042 HOLLYWOOD RD NW,0710,2404A,,1,Morn,Sun,,AUTO THEFT,Riverside,D,-84.471209999999999,33.811540000000001
7382235,171151444,04/25/2017,04/25/2017,10:00:00,04/25/2017,11:59:00,305,,,1335 GRANT STREET SE,0690,2399,,1,Day,Tue,20,LARCENY-NON VEHICLE,Chosewood Park,Y,-84.377179999999996,33.718330000000002
7382236,171151466,04/25/2017,04/11/2017,12:00:00,04/11/2017,20:00:00,205,,,3038 ARDEN RD NW,0640,2305,,1,Eve,Tue,20,LARCENY-FROM VEHICLE,Argonne Forest,C,-84.404120000000006,33.838259999999998
7382237,171151467,04/25/2017,04/24/2017,18:30:00,04/24/2017,19:24:00,211,,,2539 PIEDMONT RD NE @TARGET - PIEDMONT,0630,2303,,1,Eve,Mon,8,LARCENY-NON VEHICLE,Lindbergh/Morosgo,B,-84.363280000000003,33.82403
7382238,171151510,04/25/2017,04/25/2017,08:15:00,04/25/2017,12:30:00,503,,,1155 JUNIPER ST NE,0640,2305,,1,Day,Tue,18,LARCENY-FROM VEHICLE,Midtown,E,-84.381789999999995,33.78584
7382239,171151566,04/25/2017,04/25/2017,12:00:00,04/25/2017,13:00:00,602,,,146 HURT ST NE,0640,2305,,1,Day,Tue,13,LARCENY-FROM VEHICLE,Inman Park,N,-84.354709999999997,33.758119999999998
7382240,171151570,04/25/2017,04/25/2016,13:20:00,04/25/2017,13:30:00,112,,,2997 LINKWOOD PL NW,0640,2305,,2,Unk,Unk,20,LARCENY-FROM VEHICLE,Collier Heights,I,-84.484999999999999,33.76173
7382241,171151576,04/25/2017,04/25/2017,13:10:00,04/25/2017,13:20:00,114,APT,12B,3804 MARTIN L KING JR DR SW,0511,2202,,1,Day,Tue,26,BURGLARY-RESIDENCE,Old Gordon,H,-84.513220000000004,33.767969999999998
7382242,171151599,04/25/2017,04/25/2017,12:15:00,04/25/2017,13:35:00,608,,,286 ELMIRA PL NE,0640,2305,,1,Day,Tue,13,LARCENY-FROM VEHICLE,Candler Park,N,-84.347210000000004,33.762120000000003
